SUBID,month_id,watch_date,watch_time,month,day_name,day_type,month_Name,Tv_Channel,Time_of_day,Duration,Usage_level,hour_of_day,Region,Age,Age_Group,Email_flag,Social_Media_flag,Gender,Race
903994,2016-01-04,2016-01-04,18:09:00,2016-01,Mon,weekday,Jan,Trace TV,04 evening,00:02:00,05 extreme usage:>2 hrs,18,Western Cape,33,youth,1,1,male,coloured
802352,2016-03-30,2016-03-30,09:04:00,2016-03,Wed,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:10:06,05 extreme usage:>2 hrs,9,None,0,infant,1,1,None,None
866125,2016-03-30,2016-03-30,17:01:00,2016-03,Wed,weekday,Mar,ICC Cricket World Cup 2011,03 afternoon,00:00:42,05 extreme usage:>2 hrs,17,Gauteng,30,youth,1,1,male,indian_asian
2425604,2016-03-25,2016-03-25,15:23:00,2016-03,Fri,weekday,Mar,ICC Cricket World Cup 2011,03 afternoon,00:00:10,05 extreme usage:>2 hrs,15,Gauteng,51,elder,1,1,female,white
793571,2016-02-02,2016-02-02,17:18:00,2016-02,Tue,weekday,Feb,SawSee,03 afternoon,00:01:33,05 extreme usage:>2 hrs,17,Eastern Cape,9,child,1,1,female,white
793571,2016-03-18,2016-03-18,16:56:00,2016-03,Fri,weekday,Mar,Boomerang,03 afternoon,00:00:10,05 extreme usage:>2 hrs,16,Eastern Cape,9,child,1,1,female,white
793571,2016-03-20,2016-03-20,04:25:00,2016-03,Sun,weekday,Mar,Channel O,01 midnight,00:17:15,05 extreme usage:>2 hrs,4,Eastern Cape,9,child,1,1,female,white
793571,2016-02-03,2016-02-03,06:43:00,2016-02,Wed,weekday,Feb,Boomerang,02 morning,00:01:13,05 extreme usage:>2 hrs,6,Eastern Cape,9,child,1,1,female,white
819248,2016-03-31,2016-03-31,10:01:00,2016-03,Thu,weekday,Mar,Channel O,02 morning,00:04:45,05 extreme usage:>2 hrs,10,None,0,infant,1,1,None,None
820321,2016-01-09,2016-01-09,08:25:00,2016-01,Sat,weekday,Jan,Cartoon Network,02 morning,00:00:40,05 extreme usage:>2 hrs,8,Kwazulu Natal,26,youth,1,1,male,indian_asian
892453,2016-03-24,2016-03-24,09:09:00,2016-03,Thu,weekday,Mar,Supersport Live Events,02 morning,00:00:06,05 extreme usage:>2 hrs,9,Gauteng,34,youth,1,1,male,indian_asian
892453,2016-03-26,2016-03-26,15:33:00,2016-03,Sat,weekday,Mar,ICC Cricket World Cup 2011,03 afternoon,05:01:12,05 extreme usage:>2 hrs,15,Gauteng,34,youth,1,1,male,indian_asian
828799,2016-02-28,2016-02-28,08:09:00,2016-02,Sun,weekday,Feb,Channel O,02 morning,00:00:00,05 extreme usage:>2 hrs,8,Mpumalanga,38,adult,1,1,male,None
787656,2016-02-15,2016-02-15,08:40:00,2016-02,Mon,weekday,Feb,Channel O,02 morning,00:11:15,05 extreme usage:>2 hrs,8,Gauteng,26,youth,1,1,male,black
939566,2016-01-09,2016-01-09,15:40:00,2016-01,Sat,weekday,Jan,Supersport Live Events,03 afternoon,00:22:02,05 extreme usage:>2 hrs,15,Mpumalanga,29,youth,1,1,male,None
771778,2016-02-05,2016-02-05,13:47:00,2016-02,Fri,weekday,Feb,Supersport Live Events,03 afternoon,00:04:12,05 extreme usage:>2 hrs,13,Eastern Cape,21,youth,1,1,male,black
808915,2016-02-20,2016-02-20,05:34:00,2016-02,Sat,weekday,Feb,SuperSport Blitz,01 midnight,00:01:14,05 extreme usage:>2 hrs,5,Kwazulu Natal,37,adult,1,1,male,black
808915,2016-02-21,2016-02-21,13:45:00,2016-02,Sun,weekday,Feb,Supersport Live Events,03 afternoon,00:00:50,05 extreme usage:>2 hrs,13,Kwazulu Natal,37,adult,1,1,male,black
808916,2016-02-19,2016-02-19,11:03:00,2016-02,Fri,weekday,Feb,E! Entertainment,02 morning,00:01:42,05 extreme usage:>2 hrs,11,Western Cape,43,adult,1,1,male,None
808916,2016-02-19,2016-02-19,20:15:00,2016-02,Fri,weekday,Feb,Boomerang,04 evening,00:00:00,05 extreme usage:>2 hrs,20,Western Cape,43,adult,1,1,male,None
831679,2016-03-01,2016-03-01,03:17:00,2016-03,Tue,weekday,Mar,Supersport Live Events,01 midnight,00:00:50,05 extreme usage:>2 hrs,3,Gauteng,27,youth,1,1,male,coloured
808917,2016-02-27,2016-02-27,18:13:00,2016-02,Sat,weekday,Feb,Break in transmission,04 evening,00:00:26,05 extreme usage:>2 hrs,18,Gauteng,34,youth,1,1,male,black
