user_id,total_views,unique_channels,last_view_date
903994,1,1,2016-01-04T18:09:00.000Z
802352,1,1,2016-03-30T09:04:00.000Z
866125,1,1,2016-03-30T17:01:00.000Z
2425604,1,1,2016-03-25T15:23:00.000Z
793571,4,3,2016-03-20T04:25:00.000Z
819248,1,1,2016-03-31T10:01:00.000Z
820321,1,1,2016-01-09T08:25:00.000Z
892453,2,2,2016-03-26T15:33:00.000Z
828799,1,1,2016-02-28T08:09:00.000Z
787656,1,1,2016-02-15T08:40:00.000Z
939566,1,1,2016-01-09T15:40:00.000Z
771778,1,1,2016-02-05T13:47:00.000Z
808915,2,2,2016-02-21T13:45:00.000Z
808916,2,2,2016-02-19T20:15:00.000Z
831679,1,1,2016-03-01T03:17:00.000Z
808917,2,2,2016-02-28T20:20:00.000Z
939570,1,1,2016-03-30T23:52:00.000Z
880213,1,1,2016-03-30T19:13:00.000Z
2255459,2,2,2016-03-29T02:23:00.000Z
808921,2,2,2016-03-06T15:58:00.000Z
831683,3,3,2016-03-04T07:21:00.000Z
761775,2,2,2016-02-04T14:12:00.000Z
866131,1,1,2016-03-07T17:16:00.000Z
904019,1,1,2016-03-29T16:03:00.000Z
939575,1,1,2016-03-10T21:30:00.000Z
808923,2,2,2016-02-21T18:03:00.000Z
933014,1,1,2016-03-31T23:24:00.000Z
892461,2,1,2016-03-12T08:24:00.000Z
2255463,1,1,2016-03-31T13:17:00.000Z
771783,2,2,2016-02-01T12:51:00.000Z
2368357,4,4,2016-03-08T15:28:00.000Z
788616,1,1,2016-01-27T12:03:00.000Z
771785,1,1,2016-02-28T16:53:00.000Z
630977,1,1,2016-01-16T09:52:00.000Z
808928,2,2,2016-03-01T12:15:00.000Z
831694,1,1,2016-03-01T22:07:00.000Z
808929,2,2,2016-01-24T18:35:00.000Z
892465,6,5,2016-03-31T10:45:00.000Z
820335,6,2,2016-03-26T12:44:00.000Z
830836,1,1,2016-03-02T11:07:00.000Z
770963,2,2,2016-03-24T09:45:00.000Z
904035,1,1,2016-03-29T19:34:00.000Z
868888,1,1,2016-03-30T11:55:00.000Z
879414,1,1,2016-03-31T21:19:00.000Z
771791,2,2,2016-03-14T11:51:00.000Z
819259,1,1,2016-02-26T15:53:00.000Z
2285528,1,1,2016-03-15T10:20:00.000Z
868892,3,3,2016-03-12T14:47:00.000Z
808971,7,2,2016-03-30T19:19:00.000Z
866251,2,2,2016-03-10T19:13:00.000Z
779369,3,2,2016-02-11T19:35:00.000Z
1281997,1,1,2016-02-20T16:51:00.000Z
615057,1,1,2016-01-10T07:34:00.000Z
786055,2,2,2016-01-19T18:42:00.000Z
850656,3,2,2016-03-06T07:09:00.000Z
2368365,1,1,2016-03-30T11:17:00.000Z
764296,2,2,2016-02-04T08:42:00.000Z
779373,1,1,2016-02-28T05:58:00.000Z
771793,4,2,2016-02-18T20:23:00.000Z
868895,5,3,2016-03-16T00:14:00.000Z
808934,10,4,2016-03-27T16:07:00.000Z
939592,1,1,2016-03-27T14:51:00.000Z
771796,6,3,2016-03-27T16:58:00.000Z
2368371,1,1,2016-03-26T10:25:00.000Z
617535,1,1,2016-01-11T20:08:00.000Z
617961,1,1,2016-01-31T22:06:00.000Z
771797,1,1,2016-02-03T13:31:00.000Z
67584,1,1,2016-01-18T15:04:00.000Z
808936,2,1,2016-03-24T12:31:00.000Z
590480,1,1,2016-01-04T16:11:00.000Z
831713,2,1,2016-03-14T07:08:00.000Z
2406478,1,1,2016-03-26T13:50:00.000Z
793592,1,1,2016-03-21T12:34:00.000Z
904063,2,1,2016-03-26T22:02:00.000Z
586459,1,1,2016-01-02T09:49:00.000Z
791320,3,1,2016-03-06T09:33:00.000Z
771802,6,3,2016-02-12T16:51:00.000Z
808941,1,1,2016-03-01T00:30:00.000Z
600713,2,1,2016-01-13T14:27:00.000Z
2407123,3,3,2016-03-14T07:40:00.000Z
939600,3,3,2016-03-20T15:36:00.000Z
939602,12,6,2016-03-29T09:28:00.000Z
866315,2,2,2016-03-19T18:14:00.000Z
939603,1,1,2016-03-30T08:47:00.000Z
808945,1,1,2016-03-01T19:19:00.000Z
301011,1,1,2016-01-08T17:03:00.000Z
831720,2,1,2016-03-01T15:04:00.000Z
831721,2,2,2016-03-02T19:33:00.000Z
895195,1,1,2016-03-23T19:06:00.000Z
1289864,1,1,2016-01-26T07:40:00.000Z
808948,10,4,2016-03-20T15:49:00.000Z
779395,2,2,2016-02-14T12:01:00.000Z
904090,1,1,2016-03-23T17:33:00.000Z
1106115,2,2,2016-01-11T16:06:00.000Z
820361,6,3,2016-03-20T17:58:00.000Z
771816,8,4,2016-03-23T11:09:00.000Z
788649,1,1,2016-01-15T16:12:00.000Z
939606,1,1,2016-03-30T05:53:00.000Z
831728,1,1,2016-03-12T20:45:00.000Z
939607,1,1,2016-03-30T11:56:00.000Z
808949,6,3,2016-03-09T08:24:00.000Z
806460,1,1,2016-02-13T19:58:00.000Z
460303,1,1,2016-01-22T16:30:00.000Z
808950,12,5,2016-03-27T10:37:00.000Z
925955,1,1,2016-03-30T08:40:00.000Z
771823,1,1,2016-02-06T11:10:00.000Z
853642,1,1,2016-03-06T21:22:00.000Z
904101,3,3,2016-03-28T20:22:00.000Z
831732,3,3,2016-03-15T22:32:00.000Z
1106137,2,2,2016-01-08T21:13:00.000Z
865372,2,1,2016-03-28T06:07:00.000Z
2255518,7,5,2016-02-26T13:14:00.000Z
779410,2,2,2016-02-03T12:04:00.000Z
771830,1,1,2016-01-01T14:43:00.000Z
507286,6,4,2016-01-04T17:01:00.000Z
1293309,1,1,2016-03-23T11:03:00.000Z
939619,2,2,2016-03-13T10:57:00.000Z
988056,1,1,2016-03-31T17:35:00.000Z
18031,2,2,2016-01-28T18:49:00.000Z
808958,8,5,2016-03-02T09:10:00.000Z
840343,1,1,2016-03-05T18:37:00.000Z
1106156,1,1,2016-03-31T20:16:00.000Z
793616,2,2,2016-01-25T04:11:00.000Z
939622,3,3,2016-03-30T13:29:00.000Z
868925,1,1,2016-03-08T10:27:00.000Z
764342,1,1,2016-02-02T06:11:00.000Z
808961,2,1,2016-02-22T16:24:00.000Z
853655,1,1,2016-02-16T15:45:00.000Z
939624,6,3,2016-03-31T21:22:00.000Z
2203312,1,1,2016-03-31T20:46:00.000Z
808965,7,4,2016-03-06T09:16:00.000Z
788672,2,2,2016-02-11T19:21:00.000Z
808966,11,5,2016-03-24T04:14:00.000Z
633678,1,1,2016-02-11T19:05:00.000Z
786099,1,1,2016-02-09T14:10:00.000Z
808969,5,3,2016-03-08T10:47:00.000Z
859311,3,3,2016-03-10T19:04:00.000Z
830980,11,6,2016-03-25T14:05:00.000Z
792729,1,1,2016-03-30T17:50:00.000Z
820387,4,3,2016-01-27T13:54:00.000Z
892515,2,2,2016-03-23T07:31:00.000Z
2203323,3,3,2016-02-27T09:07:00.000Z
808976,1,1,2016-03-02T15:30:00.000Z
866192,3,3,2016-03-26T20:57:00.000Z
930015,3,2,2016-03-31T08:09:00.000Z
1297586,1,1,2016-03-09T04:51:00.000Z
866195,1,1,2016-03-12T00:19:00.000Z
820398,4,3,2016-03-05T22:03:00.000Z
803542,1,1,2016-03-31T14:52:00.000Z
593622,1,1,2016-01-21T12:05:00.000Z
831755,2,2,2016-03-15T13:31:00.000Z
771848,5,3,2016-02-11T11:39:00.000Z
764355,1,1,2016-01-22T14:42:00.000Z
2255559,2,2,2016-03-30T18:57:00.000Z
919180,1,1,2016-03-26T09:08:00.000Z
771849,3,3,2016-02-19T21:22:00.000Z
808979,1,1,2016-02-22T19:30:00.000Z
866197,1,1,2016-03-11T17:13:00.000Z
777084,1,1,2016-02-06T16:08:00.000Z
621621,1,1,2016-01-17T15:21:00.000Z
808983,3,3,2016-02-15T20:41:00.000Z
